ID,Title,Region,Media_ID,Box_ID,Genre,Released
0169,Zombie Tycoon 2: Brainhov's Revenge,EU,PCSB-00194,,Strategy » General,2013-05-01
0170,LEGO The Lord of the Rings,US,PCSE-00067,,Adventure » General,2012-10-30
0170,Nun Attack,EU,PCSB-00264,,Strategy » General,2013-05-08
0171,Ragnarok Odyssey,US,PCSE-00119,,Role-Playing » Action RPG,2012-10-30
0171,Table Play Ice Hockey,JP,PCSC-00023,,Sports » Traditional » Ice Hockey,2013-05-09
0172,Assassin's Creed III: Liberation,EU,PCSB-00074,,Action Adventure,2012-10-31
0172,Jacob Jones and the Bigfoot Mystery: Episode One - A Bump in the Night,US,PCSA-00108,,Miscellaneous » Puzzle,2013-05-14
0173,Need for Speed: Most Wanted,EU,PCSB-00183,,Driving » Racing,2012-11-02
0173,Star Wars Pinball,US,PCSE-00221,,Miscellaneous » Parlor,2013-05-14
0174,Smart as...,EU,PCSF-00217,,Miscellaneous » Puzzle,2012-11-02
0174,Jacob Jones and the Bigfoot Mystery: Episode One - A Bump in the Night,EU,PCSF-00149,,Miscellaneous » Puzzle,2013-05-15
0175,Silent Hill: Book of Memories,EU,PCSB-00115,,Action Adventure,2012-11-02
0175,Star Wars Pinball,EU,PCSB-00254,,Miscellaneous » Parlor,2013-05-15
0176,History Legends of War: Patton,US,PCSE-00254,,Strategy » Turn-Based,2012-11-06
0176,Velocity Ultra,EU,PCSB-00302,,Action » General,2013-05-15
0177,Call of Duty: Black Ops Declassified,US,PCSE-00097,,Action » Shooter » First-Person,2012-11-13
0177,Princess * Strike!,JP,PCSG-00188,,Adventure » General,2013-05-16
0178,Call of Duty: Black Ops Declassified,EU,PCSB-00213,,Action » Shooter » First-Person,2012-11-13
0178,Men's Room Mayhem,US,PCSE-00252,,Action » General,2013-05-21
0179,Assassin's Creed III: Lady Liberty,JP,PCSG-00116,VLJM-35021,Action Adventure,2012-11-15
0179,Ratchet & Clank: Full Frontal Assault,US,PCSA-00086,,Action » Fighting » 3D,2013-05-21
0180,Need for Speed: Most Wanted,JP,PCSG-00106,VLJM-35020,Driving » Racing,2012-11-15
0180,Men's Room Mayhem,EU,PCSB-00313,,Action » General,2013-05-22
0181,Shin Gundam Musou,Unknown,PCSH-00058,VLAS-38045,Action » Beat-'Em-Up,2014-01-23
0181,Ratchet & Clank: QForce,EU,PCSF-00191,,Action » Fighting » 3D,2013-05-22
0182,Persona 4 Golden,US,PCSE-00120,,Role-Playing » Console-style RPG,2012-11-20
0182,Table Play Golf,JP,PCSC-00028,,Sports » Traditional » Golf,2013-05-23
0183,PlayStation All-Stars Battle Royale,US,PCSA-00069,PCSA-22060,Action » Fighting » 2D,2012-11-20
0183,Quell Memento,EU,PCSB-00258,,Miscellaneous » Puzzle,2013-05-29
0184,LEGO The Lord of the Rings,EU,PCSB-00125,,Adventure » General,2012-11-23
